prediction,time,high,low,open,volumefrom,volumeto,close
0,2015-12-20,462.76,431.1,461.2,121531.64,54316484.95,441.78
1,2015-12-21,445.54,423.99,441.78,121990.88,53270215.6,437.59
2,2015-12-22,443.22,433.25,437.59,65785.54,28845536.39,437.03
3,2015-12-23,444.78,434.28,437.03,63247.04,27877349.1,442.43
4,2015-12-24,460.62,441.76,442.43,79604.01,36096662.15,452.98
5,2015-12-25,457.44,449.52,452.98,42390.82,19251958.85,454.05
6,2015-12-26,456.48,400.45,454.05,208582.27,88564770.72,415.37
7,2015-12-27,425.51,406.09,415.37,67581.91,28259303.48,422.39
8,2015-12-28,429.85,417.14,422.39,68345.44,28978639.73,421.76
9,2015-12-29,433.56,419.3,421.76,70645.37,30163445.65,431.92
10,2015-12-30,435.04,420.77,431.92,68269.9,29289416.54,427.15
11,2015-12-31,433.12,417.14,427.15,65213.47,27758278.73,429.95
12,2016-01-01,437.95,425.86,429.95,46973.12,20334286.58,433.99
13,2016-01-02,437.43,430.73,433.99,33570.39,14566820.95,433.72
14,2016-01-03,434.14,423.09,433.72,54826.26,23490162.61,430.7
15,2016-01-04,435.26,428.6,430.7,53007.87,22943968.22,433.32
16,2016-01-05,435.25,428.87,433.32,45029.87,19499588.99,431.2
17,2016-01-06,432.11,425.0,431.2,43432.03,18702334.67,430.82
18,2016-01-07,457.54,428.52,430.82,130197.44,58253615.03,457.05
19,2016-01-08,462.92,446.51,457.05,91304.61,41594025.32,452.87
20,2016-01-09,454.55,444.9,452.87,39809.95,17967113.95,448.31
21,2016-01-10,448.88,438.62,448.31,44457.28,19778456.68,446.19
22,2016-01-11,451.08,441.77,446.19,56587.4,25358480.83,447.72
23,2016-01-12,448.41,443.14,447.72,44585.93,19913400.66,445.04
24,2016-01-13,443.72,420.39,445.04,92040.06,39525195.32,432.18
25,2016-01-14,433.74,427.01,432.18,46172.51,19948730.59,429.13
26,2016-01-15,430.15,364.71,429.13,268141.73,107060613.39,372.26
27,2016-01-16,386.72,350.39,372.26,183962.03,68297105.65,385.04
28,2016-01-17,390.72,377.71,385.04,66089.34,25464382.4,382.47
29,2016-01-18,387.29,373.21,382.47,69301.33,26546465.91,384.4
30,2016-01-19,386.69,375.89,384.4,66345.24,25417876.87,379.46
31,2016-01-20,425.72,374.05,379.46,190316.94,76873917.15,414.58
32,2016-01-21,423.42,403.86,414.58,89938.22,37264942.18,410.24
33,2016-01-22,411.49,374.9,410.24,144856.97,56548790.09,382.65
34,2016-01-23,395.43,380.27,382.65,61383.14,23908533.75,388.61
35,2016-01-24,405.4,385.53,388.61,64535.73,25770175.58,402.13
36,2016-01-25,403.78,386.85,402.13,67659.06,26793044.72,392.76
37,2016-01-26,397.74,387.9,392.76,56805.12,22384754.5,389.78
38,2016-01-27,397.37,389.35,389.78,43678.72,17297117.36,395.02
39,2016-01-28,395.42,376.71,395.02,77319.55,29717813.05,379.69
40,2016-01-29,385.75,363.49,379.69,138455.81,51927041.84,380.29
41,2016-01-30,381.75,375.04,380.29,36179.6,13720656.84,377.76
42,2016-01-31,380.54,366.88,377.76,39019.71,14718855.75,369.84
43,2016-02-01,379.78,365.27,369.84,74346.01,27728088.91,372.18
44,2016-02-02,376.63,371.4,372.18,50981.07,19123252.48,373.92
45,2016-02-03,375.89,366.2,373.92,59813.05,22266682.14,368.02
46,2016-02-04,391.83,368.05,368.02,101868.7,38961905.49,390.65
47,2016-02-05,391.15,384.48,390.65,60917.35,23688228.07,386.46
48,2016-02-06,386.35,372.87,386.46,78850.1,29801286.8,376.68
49,2016-02-07,382.61,375.28,376.68,40743.17,15395728.35,377.94
50,2016-02-08,380.92,372.1,377.94,62236.23,23424062.52,372.63
51,2016-02-09,377.59,371.42,372.63,55358.89,20801701.37,375.32
52,2016-02-10,385.38,374.09,375.32,97487.81,37137791.06,381.88
53,2016-02-11,383.23,372.75,381.88,62653.08,23858467.37,379.45
54,2016-02-12,386.4,379.32,379.45,53759.93,20685663.27,384.04
55,2016-02-13,392.57,383.31,384.04,48158.05,18757146.48,390.1
56,2016-02-14,405.93,390.06,390.1,73589.64,29442484.67,405.5
57,2016-02-15,410.85,396.56,405.5,86127.28,34862753.81,401.07
58,2016-02-16,409.75,398.0,401.07,68330.32,27726590.05,406.42
59,2016-02-17,421.45,405.05,406.42,90323.21,37559686.21,417.14
60,2016-02-18,425.51,414.78,417.14,77346.22,32541108.12,421.4
61,2016-02-19,424.26,416.36,421.4,52240.27,21991480.98,419.98
62,2016-02-20,442.66,419.49,419.98,111626.76,48500793.67,440.06
63,2016-02-21,447.61,425.47,440.06,100499.03,44120520.96,437.87
64,2016-02-22,440.18,431.3,437.87,56010.22,24563748.2,437.79
65,2016-02-23,440.76,414.36,437.79,93717.62,39915706.29,419.9
66,2016-02-24,425.17,410.36,419.9,66506.84,28041199.85,422.72
67,2016-02-25,427.18,417.51,422.72,53541.45,22692099.41,423.48
68,2016-02-26,427.58,419.11,423.48,53212.34,22642013.92,427.32
69,2016-02-27,434.14,427.3,427.32,42792.33,18543436.43,431.3
70,2016-02-28,435.62,421.22,431.3,50847.07,21876091.34,432.47
71,2016-02-29,441.32,429.83,432.47,68773.52,30077319.62,436.21
72,2016-03-01,439.02,428.49,436.21,67461.59,29312670.84,434.04
73,2016-03-02,435.91,423.85,434.04,57744.55,24894311.79,425.36
74,2016-03-03,425.83,414.94,425.36,78902.45,33188751.08,419.56
75,2016-03-04,423.39,407.2,419.56,75267.61,31416610.3,409.48
76,2016-03-05,410.06,386.93,409.48,129149.15,51725937.08,399.0
77,2016-03-06,412.02,393.09,399.0,62593.92,25324456.27,405.96
78,2016-03-07,416.58,401.98,405.96,61774.07,25349627.97,414.87
79,2016-03-08,416.72,408.42,414.87,53769.8,22204517.93,411.9
80,2016-03-09,414.88,408.94,411.9,50919.66,21035428.97,412.76
81,2016-03-10,417.48,410.27,412.76,55735.81,23114636.62,415.83
82,2016-03-11,422.4,415.11,415.83,60632.19,25469781.33,419.11
83,2016-03-12,420.67,407.03,419.11,59635.49,24660321.63,410.36
84,2016-03-13,415.93,409.57,410.36,34977.81,14457108.0,412.41
85,2016-03-14,416.08,411.19,412.41,49332.82,20471909.73,414.31
86,2016-03-15,417.37,412.31,414.31,48596.63,20227610.88,415.13
87,2016-03-16,416.95,413.32,415.13,44535.24,18509954.18,415.91
88,2016-03-17,419.56,415.33,415.91,43820.66,18409340.68,418.16
89,2016-03-18,418.58,402.48,418.16,66068.03,27178165.73,408.16
90,2016-03-19,410.49,402.13,408.16,36997.54,15084656.26,408.69
91,2016-03-20,413.45,407.24,408.69,30543.21,12577521.63,411.53
92,2016-03-21,413.09,407.25,411.53,43159.26,17735457.25,411.11
93,2016-03-22,417.94,410.78,411.11,49075.11,20425092.47,416.21
94,2016-03-23,419.58,414.18,416.21,40605.05,16946522.38,416.98
95,2016-03-24,417.68,412.88,416.98,38828.43,16210672.62,414.74
96,2016-03-25,417.3,412.41,414.74,34588.15,14431200.38,415.71
97,2016-03-26,417.71,413.93,415.71,28056.64,11696306.67,416.51
98,2016-03-27,427.36,415.5,416.51,61724.4,26137150.51,424.57
99,2016-03-28,425.36,419.7,424.57,43444.76,18410749.99,422.21
100,2016-03-29,424.53,406.36,422.21,69113.03,28765857.05,415.0
101,2016-03-30,416.22,408.4,415.0,43282.31,17890792.61,412.44
102,2016-03-31,417.16,411.45,412.44,41840.9,17407273.19,415.66
103,2016-04-01,416.86,412.79,415.66,38218.91,15852511.01,415.64
104,2016-04-02,420.09,415.09,415.64,31309.25,13137339.89,418.51
105,2016-04-03,420.18,416.95,418.51,22798.16,9591214.82,419.06
106,2016-04-04,420.39,416.21,419.06,33436.9,14031939.65,419.33
107,2016-04-05,423.67,417.95,419.33,40886.78,17260368.39,422.07
108,2016-04-06,422.81,419.54,422.07,32667.23,13836754.91,421.26
109,2016-04-07,422.03,417.94,421.26,36056.99,15200495.86,420.14
110,2016-04-08,423.51,415.5,420.14,46947.25,19810838.26,417.69
111,2016-04-09,418.85,412.39,417.69,29424.6,12291880.83,418.05
112,2016-04-10,421.63,416.69,418.05,23300.23,9806327.9,420.25
113,2016-04-11,422.35,418.11,420.25,36387.29,15374195.04,421.43
114,2016-04-12,426.69,420.7,421.43,57711.94,24580503.64,424.74
115,2016-04-13,426.58,421.41,424.74,38088.6,16183793.93,423.47
116,2016-04-14,425.44,421.84,423.47,30664.4,13038970.54,424.02
117,2016-04-15,429.49,423.25,424.02,54119.98,23214560.1,428.67
118,2016-04-16,432.0,426.84,428.67,29021.18,12517265.78,430.05
119,2016-04-17,430.62,423.79,430.05,25586.86,10980868.31,426.26
120,2016-04-18,429.07,424.35,426.26,32574.71,13951524.85,427.69
121,2016-04-19,436.07,426.84,427.69,45675.4,19713466.34,434.92
122,2016-04-20,442.86,432.51,434.92,74361.53,32655415.81,441.16
123,2016-04-21,450.8,439.53,441.16,63127.8,28168774.29,449.34
124,2016-04-22,450.19,441.9,449.34,49710.33,22225157.27,445.28
125,2016-04-23,451.48,443.07,445.28,42358.77,18998211.55,450.08
126,2016-04-24,461.78,447.89,450.08,74434.28,33984269.34,457.56
127,2016-04-25,466.23,451.79,457.56,81656.03,37614684.81,461.73
128,2016-04-26,468.86,459.23,461.73,67557.86,31451239.15,466.0
129,2016-04-27,467.87,444.62,466.0,90806.31,41539684.76,447.01
130,2016-04-28,450.1,433.9,447.01,81934.58,36369788.38,448.48
131,2016-04-29,456.31,445.22,448.48,44850.72,20264761.95,454.98
132,2016-04-30,456.86,446.65,454.98,35308.4,15994805.53,448.53
133,2016-05-01,454.21,447.52,448.53,21745.59,9838490.74,452.24
134,2016-05-02,453.87,440.21,452.24,73854.48,32863011.95,444.18
135,2016-05-03,451.54,441.55,444.18,49749.84,22292253.48,450.27
136,2016-05-04,450.87,444.22,450.27,39440.84,17676609.71,445.8
137,2016-05-05,449.19,444.35,445.8,41887.49,18765369.38,448.08
138,2016-05-06,461.48,445.72,448.08,68429.7,31122708.07,459.56
139,2016-05-07,460.61,454.6,459.56,30971.06,14247601.97,458.46
140,2016-05-08,460.18,454.94,458.46,27597.1,12689581.18,457.87
141,2016-05-09,464.18,455.38,457.87,48422.16,22322043.96,460.44
142,2016-05-10,462.14,446.81,460.44,59992.45,27247925.23,449.36
143,2016-05-11,456.15,449.59,449.36,39965.14,18137209.37,452.5
144,2016-05-12,455.34,448.4,452.5,49186.86,22252919.49,454.43
145,2016-05-13,457.22,451.49,454.43,32389.98,14768796.02,455.41
146,2016-05-14,457.74,453.58,455.41,20360.7,9319128.91,456.44
147,2016-05-15,460.28,455.0,456.44,21196.42,9745309.9,458.11
148,2016-05-16,459.57,450.73,458.11,36601.5,16731954.01,454.87
149,2016-05-17,456.3,451.71,454.87,34628.34,15741822.36,453.25
150,2016-05-18,456.65,452.35,453.25,32606.95,14884550.93,454.22
151,2016-05-19,455.19,441.12,454.22,59385.1,26626097.5,442.66
152,2016-05-20,447.76,435.42,442.66,48431.62,21415312.04,442.11
153,2016-05-21,445.24,439.73,442.11,22999.29,10213550.36,443.64
154,2016-05-22,444.24,436.94,443.64,28739.45,12691382.29,439.62
155,2016-05-23,444.99,438.24,439.62,35897.23,15885933.69,443.69
156,2016-05-24,447.9,442.02,443.69,33214.62,14837671.76,446.11
157,2016-05-25,451.21,445.35,446.11,37716.29,16954105.43,449.78
158,2016-05-26,454.25,447.67,449.78,37715.9,17093327.23,453.3
159,2016-05-27,479.22,452.71,453.3,135674.57,63894987.38,474.05
160,2016-05-28,531.76,467.05,474.05,150172.04,75400711.07,524.22
161,2016-05-29,548.04,493.22,524.22,152570.22,80753301.33,516.05
162,2016-05-30,544.18,512.81,516.05,77528.43,41433165.43,532.26
163,2016-05-31,546.92,513.15,532.26,114080.03,60896411.69,528.92
164,2016-06-01,542.26,521.3,528.92,72406.45,38742660.86,537.4
165,2016-06-02,541.55,530.47,537.4,52877.98,28380698.71,537.1
166,2016-06-03,573.72,534.34,537.1,106250.27,59464310.87,567.03
167,2016-06-04,592.68,560.87,567.03,87411.46,50353517.34,571.95
168,2016-06-05,583.64,567.77,571.95,64520.22,37233994.18,574.91
169,2016-06-06,586.73,571.67,574.91,63682.81,37131086.56,583.58
170,2016-06-07,591.32,543.63,583.58,84694.25,49082472.71,575.58
171,2016-06-08,582.44,567.78,575.58,49604.16,28706216.31,580.51
172,2016-06-09,580.71,569.26,580.51,48613.35,28010575.91,574.69
173,2016-06-10,579.26,571.14,574.69,45501.86,26290866.62,577.89
174,2016-06-11,592.61,576.29,577.89,42217.02,24790441.26,591.6
175,2016-06-12,683.85,592.79,591.6,217379.53,139684630.33,666.55
176,2016-06-13,718.24,652.78,666.55,216731.32,149442548.73,700.07
177,2016-06-14,702.52,654.69,700.07,135648.79,92458349.24,685.14
178,2016-06-15,695.07,670.45,685.14,78620.97,53863568.9,690.77
179,2016-06-16,769.73,687.43,690.77,229569.22,169704647.02,761.21
180,2016-06-17,771.89,704.21,761.21,215870.36,160302360.32,743.9
181,2016-06-18,776.04,727.13,743.9,120525.37,91056993.79,753.77
182,2016-06-19,765.1,740.38,753.77,60445.37,45805980.62,761.04
183,2016-06-20,764.6,717.41,761.04,112290.09,83637617.46,733.97
184,2016-06-21,732.23,626.05,733.97,248083.39,166828425.88,667.38
185,2016-06-22,677.8,586.6,667.38,202320.1,129550795.89,590.56
186,2016-06-23,629.55,539.28,590.56,261739.44,154289129.68,620.84
187,2016-06-24,687.39,616.41,620.84,196694.45,128990817.06,656.89
188,2016-06-25,688.1,640.79,656.89,100457.69,67442141.07,663.52
189,2016-06-26,665.19,609.9,663.52,88928.71,56403088.15,625.41
190,2016-06-27,650.34,615.22,625.41,99812.97,63747137.15,644.66
191,2016-06-28,659.27,634.26,644.66,76657.93,49673830.24,644.89
192,2016-06-29,645.91,621.76,644.89,80218.82,50898093.64,636.54
193,2016-06-30,673.04,631.24,636.54,88203.81,58215062.66,670.02
194,2016-07-01,685.11,661.09,670.02,92227.36,62394480.64,674.57
195,2016-07-02,700.46,671.46,674.57,67380.47,46555796.93,698.06
196,2016-07-03,701.49,644.61,698.06,99268.29,66591456.99,661.64
197,2016-07-04,679.03,644.04,661.64,63905.01,42756935.48,675.16
198,2016-07-05,679.19,657.31,675.16,54642.8,36687264.23,663.67
199,2016-07-06,678.39,662.24,663.67,47049.5,31708100.51,672.7
200,2016-07-07,676.19,604.95,672.7,153608.21,97639342.03,635.25
201,2016-07-08,663.43,630.17,635.25,75892.55,49243011.02,662.78
202,2016-07-09,663.49,620.68,662.78,96013.13,62061207.33,651.83
203,2016-07-10,651.98,636.8,651.83,29256.82,18955766.48,647.11
204,2016-07-11,657.47,639.97,647.11,45941.77,29925667.34,646.71
205,2016-07-12,673.19,644.56,646.71,66591.48,44047499.67,670.56
206,2016-07-13,672.02,656.04,670.56,62958.21,41791464.25,661.15
207,2016-07-14,661.88,646.31,661.15,48196.92,31748496.83,657.25
208,2016-07-15,667.46,656.5,657.25,35830.56,23817856.65,664.2
209,2016-07-16,665.41,655.72,664.2,20385.0,13557557.05,660.69
210,2016-07-17,680.94,660.13,660.69,46840.6,31614610.5,676.33
211,2016-07-18,680.42,664.61,676.33,42576.77,28810844.41,670.38
212,2016-07-19,673.24,663.63,670.38,30395.36,20401885.27,671.1
213,2016-07-20,672.29,659.51,671.1,37562.71,25075066.39,664.4
214,2016-07-21,666.51,657.82,664.4,32164.64,21351309.78,664.62
215,2016-07-22,669.44,645.69,664.62,65894.84,43283429.35,651.11
216,2016-07-23,658.17,647.98,651.11,29884.68,19544654.54,655.16
217,2016-07-24,664.21,651.03,655.16,29815.62,19642346.73,659.29
218,2016-07-25,662.51,651.08,659.29,34383.06,22564554.46,654.0
219,2016-07-26,657.76,643.49,654.0,49388.21,32177578.58,654.38
220,2016-07-27,659.08,646.04,654.38,29885.7,19568531.49,654.54
221,2016-07-28,657.96,650.81,654.54,28112.8,18452583.66,654.13
222,2016-07-29,657.4,650.99,654.13,27043.62,17757920.48,655.43
223,2016-07-30,657.55,652.06,655.43,19354.41,12721755.54,654.74
224,2016-07-31,654.92,621.42,654.74,62887.74,39918066.14,621.87
225,2016-08-01,627.89,603.55,621.87,66660.27,41229298.83,607.0
226,2016-08-02,613.75,471.36,607.0,130913.66,75338595.54,513.43
227,2016-08-03,573.06,514.09,513.43,85930.35,47170751.56,566.44
228,2016-08-04,584.89,559.5,566.44,44823.44,25725471.16,576.22
229,2016-08-05,579.97,565.81,576.22,27885.51,15992890.37,574.66
230,2016-08-06,596.68,565.33,574.66,25382.28,14676841.26,586.45
